Education,Wealth,Richness,Poverty,Economy (distribution),Economy,Income,Taxation,Social_benefit,Social stratification,Social,Work/status/class,Working_conditions,Housing_conditions,Living_conditions,Energy,Crisis,Nutrition,Family_status,Handicapped_people,Weight/obesity,Health (general),Homeless,Religion,Refugee,Xenophobia,Racism,Gender,Lgbtq+,East/west_differences,Differences_within_germany,Age,Jobless,Pensioners,COVID-19,Healthcare,Egoism/lack_of_humanity,Public transportation,Politics/institutions,Human_rights,Inequality_before_the_law,Football_world_championship_in_katar,Environment,Government/institutions (Dissatisfaction),Public_agencies,Social mobility,War,Global
Bildungsungleichheit,Vermögensungleichheit,reich,bettelarm,Arm&reich,finanzielll,einkommensdifferenz,brutto/netto,Bürgergeld,Mittelschicht,Sozial Ungleichheit,führungspositionen,Arbeitsbelastung,wohnung,Lebensbedingungen,Energie,Krise,Lebensmittel,verheiratet,behindert,dick,gesundheit,Obdachlosigkeit,religion,Flüchtlinge,Ausländer,Hautfarbe,Frau,sexualität,ost,Bundesland,alt,Arbeitslos,Rente,andersdenkender,Krankenversicherung,egoismus,Nahverkehrsmittel,Politiker,menschenrecht,gesetzlich,Katar,Klima,lug,beamte,Chancen,krieg,Afrika
bildungsungerechtigkeit,Vermögensverteilung,reichtum,armut,reich/arm,finanziell,verdienstunterscheiden,erbschaftssteuer,hartz_iv,Status,Unterschiedlichkeiten der Bevölkerung,berufsgruppen,Arbeit,wohnungsnot,lebenshaltungskosten,,,hungern,unverheiratet,behinderung,adipositas,körperlich,obdachlos,religiös,asylant,Herkunft,rassen,Mann,sexuell,west,Bundesländer,alter,job/arbeitslos,Renten,andersdenkende,krankenkasse,selbst,Nahverkehrsmitteln,politisch,meinungsfreiheit,rechtsprechung,WM,Klimawandel,trug,beamten,Chancengleichheit,Grieg,Die Welt
Bildung,vermögend,reich,arm,armut/reichtum,finanzielles,gehaltsfragen,steuersatz,hartziv,klassen,sozialen Unterschiede,führungskraft,pflegepersonal,wohnen,lebensstandard,energiepreise,,Ernährung,kinderlos,behindertenbenachteiligung,dick-dünn,krank,wohnungslos,christenverfolgung,flüchtling,nationalität,schwarz,Männer,schwul,osten,Bundesländern,jung,arbeitslosigkeit,rentnern,ungeimpft,gesundheitswesen,egoistisch,pendler,regierung,kindersrbeit,gesetz,WM in Katar,umweltungerechtigkeit,unwahrheit,beamter,chancengleichheit,,Nord-Süd-Gefälle
ungebildet,vermögensumverteilung,reicht,verarmung,arm/reich,finanzieller,handwerkerlohn,steuerlich,hartz,Position,Gesellschaft,manager,Arbeiten,wohnraum,unterhaltungskosten,heizen,,Ernährungen,single,barrierefreiheit,körpergewicht,gesundheitlich,obdachlose,glaubens,asylbewerber,kulturell,ethnisch,Frauen,homosexuell,westen,kommunen,jung/alt,nichtarbeitende,pension,virus,privatpatient,Menschlichkeit,pendeln,Staat,,gericht,,Tierschutz,unwahrheiten,verbeamtung,Chancenungleich,,Porter EU
schulbildung,99%,reichen,armmut,arm-reich,finanziellen,lohnunterschied,abgeben,hartz-iv,schicht,,qualifikation,arbeitend,wohnungssuche,lebendsbedingung,energiekosten,,Ernährunge,kinderreich,rollstuhlfahrer,bodyshaming,psychisch,,konfession,flüchtlingen,ausländisch,dunkelhäutig,mannundfrau,homophobie,westdeutschland,stadt/land,Generationen,nicht arbeitende,rentensystem,ungeimpfen,kassenpatient,narzissmus,bus,Politik,menschenrechte,gesetzeslage,,Speziesismus,,Behörden,Chancenungleichheit,,
schule,1%,reicher,arm,geldverteilung,finanzielle,Gehaltsunterschiede,Steuersatz,sozialgeld,mittelstand,Solziale,managern,job,wohnungen,lebens,gasrechnung,,Nahrung,famileinstand,handicap,dicke,gesund,,religionen,ukrainer,Migrationshintergrund,rassismus,Geschlecht,homosexual,ostdeutschland,dorfbewohner,älter,Arbeitslose,Rentner,geimpft,gesundheitssystem,,bahn,,gleichberechtigung,rechtlich,,,korruption,Amt,Chancenverteilung,,
bildungsstand,vermögensaufteilung,reichgeht,armen,ressourcenverteilung,festerleswirtschaft,Gehaltsunterschied,versteuerung,unterstützung,Oberschicht,Solzialer Abstand,vorstand,beruf,mieten,lebensumstände,heizkosten,,Nahrungsmittel,kinderbetreuung,einschränkung,dünn,krankenhäuser,,religiöse,ukrainisch,ausländerfeindlichkeit,alltagsrassismus,männlich,lgbtq+,ost/west,landbevölkerung,jünger,jobsuche,beamtenpensionen,querdenker,krankenversichert,eigennutz,Ticket,Demokratie,wahlrecht,strafmaß,,,koruption,Ämter,Ungleiche Ausgangsbedingungen,,
Bildungschancen,geldvermögen,reichsten,arme,ungleichverteilt,wirtschaftliche,Lohnungleichheit,steuersystem,leistung,klassengesellschaft,,student,arbeitnehmer,wohnort,lebensunterhalt,energiekostenbelastung,,Beköstigung,alleinstehend,einschränken,,kranke,,,asylbewerber,kultur,aussehen,weiblich,lesben,ddr,Stadt- und Landbevölkerung,altersdiskriminierung,,rentenerhöhung,imppfefn,versichert,unmenschlich,Ticketproblematik,staatlich,,grundgesetz,,,verprassen,,Ungleiche Chancen,,
Bildungsmöglichkeit,vermögen,reichte,armer,armreichschere,geldlich,einkommensunterschiede,einkommensteuer,sozialleistung,klasse,sozial Schwächere,chefposten,arbeitgeber,wohnungsmarkt,lebensverhältnis,preisexplosionen,,essen,alleinerziehend,ableismus,,gesundheitliche,,,asylantenkrise,Migration,schwarz/weiß,geschlechtsspezifisch,homosexualität,ost/westdeutschland,stadt-land,altersungerechtigkeit,,pensionär,maskenpflicht,arzt,Umgang miteinander,9,Behörden,,strafrecht,,,klientelpolitik,,Unterschiedliche Chancen,,
gebildet,99prozent,reichtums,verarmt,armundreich,Geld,einkommensverteilung,grundsteuer,,zweiklassengesellschaft,,studenten,Arbeitswelt,wohnverhältnisse,lebensqualität,ölpreis,,Hungersnot,erziehung,beeinträchtigt,,medizinischen,,,asylsuchend,einheimisch,hautfarben,Geschlechterungleichheit,gleichgeschlechtlich,ostdeutsch,stadt,altersarmut,,rentenbezüge,impfpflicht,medizin,vetternwirtschaft,9Euro,Amt,,justiz,,,lobby,,,,
schulabschluss,99 prozent,reichtumsoli,Tafel,armund,finanziell,lohnunterschied,steuern,empfänger,unterschicht,Soziale Disbalance,,,wohnungssituation,lebensstandart,heizung,,,alleinerziehend,schwerbehinderung,,medizinische,,,geflüchted,Ausländern,antisemitismus,frauenfeindlichkeit,partnerschaft,westdeutsch,land,alte,,rentenalter,impflicht,medizinisch,Urteil menschen,9 Euro,Ämter,,steuerrecht,,,Lobbyismus,,,,
schul,1 prozent,reiche,existenzminimum,armreich,Geld,gehaltsschere,besteuern,entlasten,Stellung,Soziale Ebene,,arbeitnehmern,wohnungsmangel,lebenslagen,strompreise,,,unverheiratete,schwerbehinderten,,gesundheitliche,,,asylpolitik,Landsleut,razismus,Frauenquote,lesbisch,west ost,Stadt-Land,älteren,,rentenbezug,coronamaßnahmen,krankheit,"Vorurteile, Mißgunst",9 ,system,,gerichtlich,,,L?gen,,,,
schulisch,1prozent,reichtum,verschuldet,reichtumsverteilung,finanzen,einkommensungleichheit,besteuerung,hilfen,klassismus,Soziale Gerechtigkeit,,berufsleben,wohnsituation,lebensverhältnisse,gas,,,eheschließung,handycaps,,gesunde,,,flüchtlingshilfe,europäisch,rassismuss,Frauenrecht,sexuelle Vorlieben,ost west,Stadtrand wählt grün und knechtet das Umland.,alters,,rentnerin,coronapolitik,ärtzlich,wenig freundlich,öpnv,regieren,,erbrecht,,,Lügen,,,,
