Id,text
2,Ungerecht
17,Nichts
33,"Die da oben, wir da unten"
61,ÄRGERLICH
96,Geburt
98,Diverse
122,Unfair
142,Ja
158,Keine Ahnung
163,Menschen
187,Dazu fällt mir nichts ein
201,Unterdrückung
265,Diskriminierung
277,Nicht gleich
298,Überall
321,Ich denke dass alles was mich nervt juckt mich auch nicht.
343,Alles
355,Ungerechtigkeit
357,alles
360,Keine
408,bxichvixchvxchbvlxchvb
412,Keine
438,paar dinge
471,Keine Ahnung
481,Diskiminirung
490,"Den anderen do respektieren wie er ist Wertschätzung ,"
501,"Macht,wissen, mensch"
520,Nichts
578,nichts
591,Ungerecht wie es teilweise läuft
620,Klischeedenken
632,Faulheit
635,Ungleichheit
642,sozial
648,Gerechtigkeit
658,Die Ungleichheit
671,Unglaublich schlecht
687,Mehr Engagement für bedürftige Menschen
700,"Trauriglkeit, Unzufriedenheit, Benachteiligung, Gier, Größenwahn, Gewalt"
704,Nsjsnwb
709,Gerechtigkeit
739,Divers
751,Fällt mir gerade nichts ein
759,nichts spontan
791,Traurig
802,Es wird mit zwei Maßstäben gemessen
805,Nichts
845,Unverständnis
862,Nicht normal
868,Ungerecht
886,Diskriminierung
888,Gleichberechtigkeit
930,Dunm
935,diskriminieren
963,Bevorzugung bestimmter Bevölkerungsgruppen
968,ICH SPAZIERE GEWRN UND AUCH MAG ICH SEHR GERN SAUNA UND SCHÖNES GRUPPEN UNTERHALTEN
970,Ungerecht
997,gleichbehandlung
1003,Sozial
1035,unfrieden
1042,Diskriminiierung
1061,Zu viel Gleichheit
1071,Unterschiedliche Auffassung von ungerechten Vorkommnisse im Alltag.(Demos etc)
1076,"Man darf nicht so sein, wie man ist."
1096,Ohje
1099,Keine Ahnung
1100,Keine Ahnung
1134,ungerecht
1149,Ungerecht
1164,Keine Ahnung
1199,Keine
1251,Über so einen Mist mache ich mir keine Gedanken
1263,Bevorzugung bestimmter Gruppen
1269,Sozial
1270,Die Kleinen und die Großen
1291,Diskussionen
1294,Help you all people
1304,Mhm
1330,Mist
1369,Ungerechtigkeit
1404,Ja
1419,Diskriminierung
1423,nichts
1427,Ungerechte Behandlung der Menschen
1454,Ich habe die letzten Tage mit Herrn <Name> telefoniert wegen dem Spiel
1464,Streit
1469,Menschen
1483,Benachteiligung
1547,Ungerechtigkeit
1552,Penis
1555,Ungleichbehandlung
1574,Menschen
1622,Diskriminierung
1638,Keine Liebe
1640,Ka
1664,Music
1670,Menchen
1674,Sozial
1699,Freundlichkeit
1703,Hilfsbereitschaft
1704,Keine Ahnung
1723,Gerechtigkeit
1731,Was du nicht willst was man dir Tuh das füg auch keinem anderen zu . Dich leider gibt es das immer mehr  Man möchte es selber nicht macht es aber mit anderen 
1738,Ungerechtigkeit
1743,Diverse
1745,.
1795,Heuchler überall
1800,Rücksichtslos
1824,Hetze
1828,Schlimm
1834,Das Minderheiten mittlerweile Mehrheiten bestimmen wollen
1851,Diskriminierung
1891,Naja in der
1893,Keine
1907,Agressiv
1922,Für mich gibt es keine Ungleichheit
1949,Abgaben
1954,Könnte zum Streit eskalieren
1970,Jeder muß geschätzt werden
1971,enttäuschent
1992,Ka
2022,mir fällt gerade nichts ein
2025,Diskriminierung
2043,Diversität
2062,Es gibt zu viele unterschiede
2068,ungerecht
2074,das sich alles so hingedreht wird wie es gerade gebraucht wird
2075,Karar
2102,Muss heute zutage nicht sein
2125,Mist
2168,Diskriminierung
2189,Diskriminierung
2190,Fußballgeld
2224,Ungerechtigkeit
2258,Das es das Wort Ungleichheit gar nicht geben dürfe.
2280,Ungerechtigkeit
2293,Nix
2295,Ungerechtigkeit
2297,Alle sollen gleich behandelt werden
2299,Ungerechtigkeiten // Unfairness
2330,Currywurst ohne Pommes
2385,Dass die Menschen nicht gleich geachtet werden.
2388,Sozial
2392,Ungerechtigkeit
2396,Wird immer so sein
2405,Diskriminierung
2424,diskremirung
2429,Mir fällt dazu nichts ein
2435, Nicht Fähr
2457,Cbxjzgiu
2463,ungerecht
2464,einheit
2466,keine
2493,Habgier
2499,Sklaverei
2521,Ungerechtigkeit
2528,????
2540,Ungerechtigkeit
2568,sghsrtzsfgg asdfg
2576,Menschen
2577,Der einzelnen Personen
2586,Ungerechtigkeit
2589,Dauernde. Unzufriedenheit
2604,Diskriminierung
2617,ungerechtigkeit
2657,Menschen
2674,nicht zuhören
2681,Diskreminierung
2685,Menschen
2699,jeder sollte mit dem zufrieden sein was er hat
2722,Managergehälter
2733,müll
2744,ungerecht
2750,Ungerechtigkeit
2758,Für alles und jeden bezahlt Deutschland nur das eigene Volk das wird vergessen bei der Großzügigkeit
2773,diskrimmieren
2805,Ungleichheit
2814,Schweinerei
2862,Die einen haben alles und der rest nichts.
2892,Gerechtigkeit
2898,Auseinandersetzung
2905,Diversität
2910,Diversität
2913,Ungleichheit beim Aufzeigen von Möglichkeiten
2914,Diskriminierung
2948,Bourdieu
2949,Boomer
2951,Keine erstmal
2958,Hohe Ausgaben
2963,Dummheit
2975,Ungerechtigkeit
3054,Die Menschen
3067,Perspektiven
3070,Diskriminierung
3083,Führungskräfte
3084,Verarsche
3108,Unausgeglichenheit
3139,Ich finde den Begriff der Ungleichheit etwas schwierig. Warum muss alles gleich sein?
3168,Unfair
3213,Minderheiten
3216,Materieller Hintergrund
3261,sozial
3294,Charakter der Menschen
3304,Einkaufen
3306,übertrieben
3360,Keine
3388,Keine
3432,Ungerechtigkeit
3443,Emanzipation
3464,Ungerechtigkeit
3482,ungerechte Verhältnisse
3498,Vorzugsbehandlungen
3514,Dass es gewollt ist
3554,Unsinn
3586,Behandlung
3621,Diskriminierung
3627,Nichts
3663,sozial
3673,Gleichstellung
3745,Anstand
3779,"Haben, Nichthaben"
3805,Selbstinitiative
3812,gleichheit
3817,"Soziales, Nachteile,"
3825,Benachteiligung von Minderheiten
3832,Akzeptanz
3860,Diskriminierung
3886,Jeder Mensch soll gleich sein
3957,Minderheiten geben den Ton an.
3960,sozial
3980,- Charakter  - Persönlichkeiten
3981,Es trifft immer die kleinen
4021,ungleiche Behandlung
4023,Gerechtigkeit
4024,keine
4070,Diskrininierung von Minderheiten
4074,Doppelmoral
4088,Geschlechterungleichbehandlung
4092,Streit
4126,klö.-
4140,Verschieden sein
4146,Diskriminierung
4155,Spontan fällt mir nichts ein.
4156,Es gibt aktuell keine und es wird nie Gleichheit geben
4170,Unterdrückung
4177,Diversity
4238,Macht und Ohnmacht
4256,Karriere
4285,machtlos
4309,Beschäftigung
4358,Diversität
4437,Bevorzugung einzelner
4441,Jeder darf so sein wie er sit
4449,Nichts
4465,Diskriminierung
4487,Ungerechtigkeit
4492,Gehaltserhöhung
4520,Welche
4522,Gleichbehandlung aller
4530,sozial
4562,Einfach zu viel gejammere
4605,Nichts
4606,Diskriminierung
4631,sozialer Ungleichheit
4639,Macht
4685,Ungleiche Behandlung der Völker
4736,ich denke das es keine Ungleichheit gibt
4751,ungerecht
4752,Familiäres Umfeld
4827,Diskriminierung
4883,Diskriminierung
4968,Nichts bestimmtes
4985,Überbewertet
5003,bei menschen
5019,Kalte Progression
5043,Eine laute Minderheit will über die schweigende Mehrheit bestimmen
5044,Ungleiche Bezahlund
5060,Gziol
5070,ungleich der Intelligenz
5103,Diskreminierung
5271,Diskriminierung/Benachteiligung von Minderheiten
5308,Diskriminierung
5312,sozial
5332,Kosten
5334,darf nicht seine meinung sagen
5367,keine
5386,Bevorzugung
5397,Nein
5413,Anerkennung
5461,Ungerechtheit
5465,Boni
5476,Gleichstellung
5483,Diskriminierung
5484,Manche sind Gleicher als Gleich.
5490,Machtmissbrauch
5591,Zunehmend
5596,Sehr schlimm
5610,Ungerechtigkeit
5612,"ku iz ilz iz kiz ik,g,h"
5617,Diskriminierung
5632,Diversität
5663,Zur Verfügung stehnder monatlicher Betrag
5676,Im Grunde genommen sind alle Menschen gleich
5681,China
5762,Diskriminierung
5813,Ungerechtigkeit
5815,Macht undGeld
5822,Unterschiedlich
5823,Es ist zum Kotzen
5851,Essgewohnheiten
5920,daran hat sich auch im 21. Jahrhundert nichts geändert
6006,es wird immer schlimmer
6025,Sozialer Stand
6033,Ungerechtigkeit
6045,sozial
6059,Ungerechtigkeit
6146,K.A.
6152,Selbständiges Denken
6221,???
6250,Kraftfahrzeug
6304,Diskriminierung
